R	3.2553	1.5814	0.5330	1477010443700000	-0.0712	3.3950	-0.2028	0.9792
R	3.9922	1.6369	1.0236	1477010444500000	-0.3356	4.1478	-0.4399	0.8980
R	5.0487	1.7007	0.5703	1477010445300000	-0.7789	4.8112	-0.6494	0.7604
R	4.6859	1.8006	0.5211	1477010446100000	-1.3732	5.3436	-0.8181	0.5750
R	6.0970	1.9218	0.4691	1477010446900000	-2.0813	5.7114	-0.9354	0.3535
R	6.8386	2.0471	0.7702	1477010447700000	-2.8586	5.8916	-0.9940	0.1097
R	7.2481	2.1241	0.2618	1477010448500000	-3.6563	5.8728	-0.9900	-0.1409
R	7.2142	2.2621	0.1697	1477010449300000	-4.4242	5.6562	-0.9239	-0.3827
R	7.3785	2.3657	0.1391	1477010450100000	-5.1142	5.2554	-0.7997	-0.6004
R	7.3088	2.4425	-0.5745	1477010450900000	-5.6828	4.6957	-0.6253	-0.7804
R	7.0523	2.5236	-0.5051	1477010451700000	-6.0944	4.0121	-0.4115	-0.9114
R	7.3228	2.6402	-0.0695	1477010452500000	-6.3230	3.2476	-0.1719	-0.9851
R	6.8621	2.7932	-0.6871	1477010453300000	-6.3543	2.4503	0.0784	-0.9969
R	6.1001	2.8413	-0.9051	1477010454100000	-6.1864	1.6703	0.3239	-0.9461
R	5.7024	3.0097	-0.7223	1477010454900000	-5.8297	0.9566	0.5490	-0.8358
R	5.1248	3.1032	-0.7005	1477010455700000	-5.3068	0.3539	0.7396	-0.6730
R	5.1240	-3.1068	-0.4606	1477010456500000	-4.6504	-0.0997	0.8838	-0.4680
R	4.1287	-3.0611	-0.8089	1477010457300000	-3.9018	-0.3759	0.9724	-0.2335
R	3.1051	-3.0038	-0.8979	1477010458100000	-3.1080	-0.4572	0.9999	0.0157
R	2.5312	-2.9905	-1.2008	1477010458900000	-2.3190	-0.3386	0.9646	0.2638
R	1.8228	-3.1239	-1.0021	1477010459700000	-1.5843	-0.0275	0.8686	0.4954
R	0.9566	2.6259	0.1386	1477010460500000	-0.9500	0.4566	0.7181	0.6959
R	1.0660	1.9631	0.9778	1477010461300000	-0.4560	1.0832	0.5225	0.8526
R	1.5456	1.6294	0.7710	1477010462100000	-0.1334	1.8130	0.2941	0.9558
R	1.8249	1.6169	1.8360	1477010462900000	-0.0024	2.6000	0.0471	0.9989
R	3.8867	1.5558	1.0780	1477010463700000	0.0509	3.3969	0.1720	0.9851
R	3.8727	1.5325	1.0976	1477010464500000	0.2915	4.1576	0.4115	0.9114
R	5.0199	1.4217	0.8915	1477010465300000	0.7137	4.8347	0.6253	0.7804
R	5.7547	1.3192	0.7381	1477010466100000	1.2911	5.3854	0.7997	0.6004
R	6.3730	1.2268	0.2287	1477010466900000	1.9873	5.7753	0.9239	0.3827
R	6.9066	1.1474	0.5406	1477010467700000	2.7585	5.9798	0.9900	0.1409
R	6.5848	1.0259	0.6893	1477010468500000	3.5564	5.9861	0.9940	-0.1098
R	6.7966	0.9253	0.2670	1477010469300000	4.3308	5.7937	0.9354	-0.3535
R	7.4203	0.8463	0.3506	1477010470100000	5.0330	5.4148	0.8181	-0.5750
R	7.4736	0.6964	-0.3281	1477010470900000	5.6189	4.8732	0.6494	-0.7604
R	7.5107	0.5775	-0.4591	1477010471700000	6.0517	4.2029	0.4399	-0.8980
R	6.9253	0.4847	-0.3409	1477010472500000	6.3042	3.4460	0.2028	-0.9792
R	7.2966	0.3841	-0.5515	1477010473300000	6.3606	2.6501	-0.0471	-0.9989
R	6.4100	0.3360	-0.2884	1477010474100000	6.2172	1.8651	-0.2941	-0.9558
R	5.7410	0.1260	-0.6848	1477010474900000	5.8832	1.1405	-0.5225	-0.8526
R	5.2777	0.0202	-1.0236	1477010475700000	5.3794	0.5218	-0.7181	-0.6959
R	4.5518	0.0318	-1.0710	1477010476500000	4.7376	0.0477	-0.8686	-0.4955
R	3.8925	-0.0739	-0.7687	1477010477300000	3.9980	-0.2518	-0.9646	-0.2639
R	3.0139	-0.1890	-1.3796	1477010478100000	3.2072	-0.3580	-0.9999	-0.0157
R	2.3572	-0.1307	-1.3223	1477010478900000	2.4149	-0.2643	-0.9724	0.2334
R	2.0405	0.0438	-0.4241	1477010479700000	1.6707	0.0236	-0.8838	0.4679
R	1.1297	0.4438	-0.7159	1477010480500000	1.0215	0.4875	-0.7396	0.6730
R	1.1803	1.1585	0.4646	1477010481300000	0.5081	1.0983	-0.5490	0.8358
R	1.7844	1.4722	0.9296	1477010482100000	0.1627	1.8176	-0.3239	0.9461
R	2.2976	1.5844	1.5245	1477010482900000	0.0071	2.6002	-0.0785	0.9969
